Level,Date and Time,Source,Event ID,Task Category
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:5357/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:80/Temporary_Listen_Addresses/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL https://*:5358/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL https://+:443/sra_{BA195980-CD49-458b-9E23-C84EE0ADCD75}/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL https://+:5986/wsman/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:47001/wsman/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:5985/wsman/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:10247/apps/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2869/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:10246/MDEServer/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL https://+:3392/rdp/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:3387/rdp/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL https://+:10245/WMPNSSv4/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:10243/WMPNSSv4/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2861/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2862/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2863/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2864/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2865/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2866/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2867/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2868/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2870/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2871/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2872/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2873/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2874/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2875/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2876/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,17-03-2023 11:41:24 PM,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2877/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
