Event,EventStartTime,EventEndTime
Windows Error Reporting,1900-01-01 13:36:46.254613,1900-01-01 13:36:46.729408
Application Error,1900-01-01 13:36:46.729408,1900-01-01 13:36:47.000491
Windows Error Reporting,1900-01-01 13:36:47.000491,1900-01-01 13:38:12.031777
Application Error,1900-01-01 13:38:12.031777,1900-01-01 13:38:12.357147
Windows Error Reporting,1900-01-01 13:38:12.357147,1900-01-01 13:38:22.167087
Application Error,1900-01-01 13:38:22.167087,1900-01-01 13:38:22.464858
Windows Error Reporting,1900-01-01 13:38:22.464858,1900-01-01 13:38:38.984787
Application Error,1900-01-01 13:38:38.984787,1900-01-01 13:38:39.280490
Windows Error Reporting,1900-01-01 13:38:39.280490,1900-01-01 13:43:39.874112
SecurityCenter,1900-01-01 13:43:39.874112,1900-01-01 13:47:39.666870
VSS,1900-01-01 13:47:39.666870,1900-01-01 14:03:08.416724
ESENT,1900-01-01 14:03:08.416724,1900-01-01 14:03:10.094692
Application Error,1900-01-01 14:03:10.094692,1900-01-01 14:03:10.348009
Windows Error Reporting,1900-01-01 14:03:10.348009,1900-01-01 15:54:56.240592
Dell SupportAssist Remediation,1900-01-01 15:54:56.240592,1900-01-01 15:54:56.245618
igccservice,1900-01-01 15:54:56.245618,1900-01-01 17:20:00.638106
Application Error,1900-01-01 17:20:00.638106,1900-01-01 17:20:00.996247
Windows Error Reporting,1900-01-01 17:20:00.996247,1900-01-01 17:51:17.542871
Microsoft-Windows-Security-SPP,1900-01-01 17:51:17.542871,1900-01-01 17:51:36.887660
SecurityCenter,1900-01-01 17:51:36.887660,1900-01-01 17:51:47.628850
Microsoft-Windows-Security-SPP,1900-01-01 17:51:47.628850,1900-01-01 18:14:03.009641
Dell SupportAssist Remediation,1900-01-01 18:14:03.009641,1900-01-01 18:14:03.397539
igccservice,1900-01-01 18:14:03.397539,1900-01-01 18:14:18.221040
Microsoft-Windows-Security-SPP,1900-01-01 18:14:18.221040,1900-01-01 18:14:18.512896
Windows Error Reporting,1900-01-01 18:14:18.512896,1900-01-01 18:14:30.660573
Application Error,1900-01-01 18:14:30.660573,1900-01-01 18:14:31.203367
Windows Error Reporting,1900-01-01 18:14:31.203367,1900-01-01 18:14:53.761583
gupdate,1900-01-01 18:14:53.761583,1900-01-01 18:15:13.212748
Microsoft-Windows-Security-SPP,1900-01-01 18:15:13.212748,1900-01-01 18:15:14.201328
Microsoft-Windows-RestartManager,1900-01-01 18:15:14.201328,1900-01-01 18:15:44.764538
Application Error,1900-01-01 18:15:44.764538,1900-01-01 18:15:45.215338
Windows Error Reporting,1900-01-01 18:15:45.215338,1900-01-01 18:15:47.813344
Application Error,1900-01-01 18:15:47.813344,1900-01-01 18:15:48.404319
Windows Error Reporting,1900-01-01 18:15:48.404319,1900-01-01 18:17:18.746185
Microsoft-Windows-RestartManager,1900-01-01 18:17:18.746185,1900-01-01 18:20:14.419810
Microsoft-Windows-Security-SPP,1900-01-01 18:20:14.419810,1900-01-01 18:20:48.384533
Microsoft-Windows-RestartManager,1900-01-01 18:20:48.384533,1900-01-01 18:21:28.086566
Application Error,1900-01-01 18:21:28.086566,1900-01-01 18:21:28.295238
Microsoft-Windows-RestartManager,1900-01-01 18:21:28.295238,1900-01-01 18:21:28.906981
Windows Error Reporting,1900-01-01 18:21:28.906981,1900-01-01 18:21:30.222944
Microsoft-Windows-Security-SPP,1900-01-01 18:21:30.222944,1900-01-01 18:21:30.063431
Application Error,1900-01-01 18:21:30.063431,1900-01-01 18:21:30.489047
Windows Error Reporting,1900-01-01 18:21:30.489047,1900-01-01 18:21:31.094143
Microsoft-Windows-Security-SPP,1900-01-01 18:21:31.094143,1900-01-01 18:21:31.407727
Windows Error Reporting,1900-01-01 18:21:31.407727,1900-01-01 18:21:35.748853
Microsoft-Windows-RestartManager,1900-01-01 18:21:35.748853,1900-01-01 18:21:54.991314
MsiInstaller,1900-01-01 18:21:54.991314,1900-01-01 18:22:02.326702
Microsoft-Windows-Security-SPP,1900-01-01 18:22:02.326702,1900-01-01 18:22:02.876510
MsiInstaller,1900-01-01 18:22:02.876510,1900-01-01 18:22:03.471055
Microsoft-Windows-Search,1900-01-01 18:22:03.471055,1900-01-01 18:22:06.522656
